Student,ID,SIS User ID,SIS Login ID,Section,Lab 1 (1528507),Lab 2 (1528517),Lab 3 (1528621),Lab 4 (1537641),Lab 5 (1538630),Lab 6 (1538950),Lab 7 (1547246),Lab 8 (1547247),Lab 9 (1547248),Lab 10 (1548774),Lab Attendance (1493154),Quiz 1 (1523864),Quiz 2 (1527539),Quiz 3 (1529988),Quiz 4 (1531458),Quiz 5 (1535632),Quiz 6 (1537430),Quiz 7 (1539584),Quiz 8 (1543882),Midterm (1533024),Final (1547380),Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,Lab Attendance Current Score,Lab Attendance Unposted Current Score,Lab Attendance Final Score,Lab Attendance Unposted Final Score,Midterm Current Score,Midterm Unposted Current Score,Midterm Final Score,Midterm Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Final Current Score,Final Unposted Current Score,Final Final Score,Final Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
    Points Possible,,,,,20,20,20,20,20,20,20,20,20,20,10,4,4,4,4,4,4,4,4,32,57,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
REDACTED,111111,1111111,daa06,PHY 040 A02 FQ 2025,20,19,15.5,18.5,20,20,18.5,20,20,19.75,10,4,3,3,1,3,4,3,3,26,35,97.64,97.64,97.64,97.64,100,100,100,100,81.25,81.25,81.25,81.25,82.14,82.14,82.14,82.14,61.4,61.4,61.4,61.4,85.8,85.8,85.8,85.8,B,B,B,B
REDACTED,111111,1111111,valvine,PHY 040 A01 FQ 2025,20,19,18,20,20,20,18.5,19,18,20,10,4,4,3,4,3,4,3,3,30,52,96.94,96.94,96.94,96.94,100,100,100,100,93.75,93.75,93.75,93.75,89.29,89.29,89.29,89.29,91.23,91.23,91.23,91.23,94.7,94.7,94.7,94.7,A,A,A,A
REDACTED,111111,1111111,chair,PHY 040 A03 FQ 2025,20,18,17.5,17,20,19,19.25,14.75,19,19.5,10,4,0,3,EX,1,4,EX,2,22,42,94.03,94.03,94.03,94.03,100,100,100,100,68.75,68.75,68.75,68.75,70,70,70,70,73.68,73.68,73.68,73.68,83.1,83.1,83.1,83.1,B,B,B,B
REDACTED,111111,1111111,nasaadi,PHY 040 A01 FQ 2025,20,14,19,20,15,20,17,19.25,19,20,9,1,4,4,4,3,4,1,0,28,47.5,94.03,94.03,94.03,94.03,90,90,90,90,87.5,87.5,87.5,87.5,75,75,75,75,83.33,83.33,83.33,83.33,88.28,88.28,88.28,88.28,B+,B+,B+,B+
REDACTED,111111,1111111,qiaochu,PHY 040 A03 FQ 2025,20,17,20,17,18.25,18.75,20,20,20,20,10,3,4,3,4,4,3,4,4,21,47.5,96.67,96.67,96.67,96.67,100,100,100,100,65.63,65.63,65.63,65.63,92.86,92.86,92.86,92.86,83.33,83.33,83.33,83.33,87.74,87.74,87.74,87.74,B+,B+,B+,B+
REDACTED,111111,1111111,jxchang,PHY 040 A01 FQ 2025,20,19,19,17,17.5,20,14.5,17.5,20,20,10,4,4,4,4,4,4,3,4,29,53,94.44,94.44,94.44,94.44,100,100,100,100,90.63,90.63,90.63,90.63,100,100,100,100,92.98,92.98,92.98,92.98,94.5,94.5,94.5,94.5,A,A,A,A
REDACTED,111111,1111111,ncole488,PHY 040 A03 FQ 2025,20,17,11,17,15.75,19,20,18.75,15,19.75,9,3,3,4,3,3,4,2,1,26,45.5,90.14,90.14,90.14,90.14,90,90,90,90,81.25,81.25,81.25,81.25,78.57,78.57,78.57,78.57,79.82,79.82,79.82,79.82,85.13,85.13,85.13,85.13,B,B,B,B
REDACTED,111111,1111111,mcotapar,PHY 040 A03 FQ 2025,20,20,19,20,20,18.75,20,18.5,20,20,10,3,4,4,2,3,4,3,3,31,49.5,98.75,98.75,98.75,98.75,100,100,100,100,96.88,96.88,96.88,96.88,85.71,85.71,85.71,85.71,86.84,86.84,86.84,86.84,94.81,94.81,94.81,94.81,A,A,A,A
REDACTED,111111,1111111,cotterze,PHY 040 A02 FQ 2025,20,16,20,18.5,18.75,19,20,20,19.9,19.75,10,3,4,4,3,3,4,3,2,30,44,97.72,97.72,97.72,97.72,100,100,100,100,93.75,93.75,93.75,93.75,85.71,85.71,85.71,85.71,77.19,77.19,77.19,77.19,91.85,91.85,91.85,91.85,A-,A-,A-,A-
REDACTED,111111,1111111,aeagon,PHY 040 A01 FQ 2025,20,17,18,20,17.5,20,15.75,19,20,20,9,4,4,3,4,1,4,3,3,29,50,95.28,95.28,95.28,95.28,90,90,90,90,90.63,90.63,90.63,90.63,89.29,89.29,89.29,89.29,87.72,87.72,87.72,87.72,91.71,91.71,91.71,91.71,A-,A-,A-,A-
REDACTED,111111,1111111,senginee,PHY 040 A01 FQ 2025,20,20,19,18,20,20,20,20,20,19.75,9,4,4,4,4,4,4,4,4,27,46,99.31,99.31,99.31,99.31,90,90,90,90,84.38,84.38,84.38,84.38,100,100,100,100,80.7,80.7,80.7,80.7,91.74,91.74,91.74,91.74,A-,A-,A-,A-
REDACTED,111111,1111111,eagall,PHY 040 A01 FQ 2025,20,17,14.5,20,16.25,20,19,19,20,19,10,2,2,3,3,2,3,3,1,24,38.5,94.58,94.58,94.58,94.58,100,100,100,100,75,75,75,75,64.29,64.29,64.29,64.29,67.54,67.54,67.54,67.54,82.77,82.77,82.77,82.77,B,B,B,B
REDACTED,111111,1111111,nsgilber,PHY 040 A01 FQ 2025,20,15,19,18.5,18.75,20,16.5,18.5,20,20,9,4,4,3,4,0,4,2,3,30,51,95.14,95.14,95.14,95.14,90,90,90,90,93.75,93.75,93.75,93.75,85.71,85.71,85.71,85.71,89.47,89.47,89.47,89.47,92.27,92.27,92.27,92.27,A-,A-,A-,A-
REDACTED,111111,1111111,gggoldst,PHY 040 A01 FQ 2025,,,,,,,,,,,0,,,,,,,,,,49,,,0,0,0,0,0,0,,,0,0,,,0,0,85.96,85.96,85.96,85.96,57.31,57.31,17.19,17.19,F,F,F,F
REDACTED,111111,1111111,legolo,PHY 040 A02 FQ 2025,20,17,20,20,19,18.5,20,16.75,0,0,9,3,0,2,3,4,0,3,3,27,52,84.03,84.03,84.03,84.03,90,90,90,90,84.38,84.38,84.38,84.38,64.29,64.29,64.29,64.29,91.23,91.23,91.23,91.23,84.16,84.16,84.16,84.16,B,B,B,B
REDACTED,111111,1111111,bgunders,PHY 040 A01 FQ 2025,20,20,18.5,18.5,15.75,19,19.75,20,20,20,10,2,4,0,4,2,4,3,3,27,42,97.64,97.64,97.64,97.64,100,100,100,100,84.38,84.38,84.38,84.38,78.57,78.57,78.57,78.57,73.68,73.68,73.68,73.68,88.52,88.52,88.52,88.52,B+,B+,B+,B+
REDACTED,111111,1111111,kjhatano,PHY 040 A02 FQ 2025,20,16,20,20,20,19,20,20,15,20,10,3,3,3,4,3,4,2,3,25,45,97.22,97.22,97.22,97.22,100,100,100,100,78.13,78.13,78.13,78.13,82.14,82.14,82.14,82.14,78.95,78.95,78.95,78.95,88.52,88.52,88.52,88.52,B+,B+,B+,B+
REDACTED,111111,1111111,mmherman,PHY 040 A01 FQ 2025,20,17,16,0,9.5,19,20,12,6,0,9,3,4,3,0,1,4,1,3,26,46,66.39,66.39,66.39,66.39,90,90,90,90,81.25,81.25,81.25,81.25,67.86,67.86,67.86,67.86,80.7,80.7,80.7,80.7,74.73,74.73,74.73,74.73,C,C,C,C
REDACTED,111111,1111111,vinson04,PHY 040 A03 FQ 2025,20,19,18,18.5,19,16.75,20,19.75,20,20,10,2,4,4,3,1,4,2,1,28,35.5,96.81,96.81,96.81,96.81,100,100,100,100,87.5,87.5,87.5,87.5,71.43,71.43,71.43,71.43,62.28,62.28,62.28,62.28,85.82,85.82,85.82,85.82,B,B,B,B
REDACTED,111111,1111111,zihuang7,PHY 040 A03 FQ 2025,20,19,19,14,18.75,14.5,18,14,12,19.75,9,2,3,4,3,EX,4,2,4,28,48,87.22,87.22,87.22,87.22,90,90,90,90,87.5,87.5,87.5,87.5,83.33,83.33,83.33,83.33,84.21,84.21,84.21,84.21,86.56,86.56,86.56,86.56,B,B,B,B
REDACTED,111111,1111111,huangzh3,PHY 040 A01 FQ 2025,20,16,20,17,19,20,18,19.75,18,19,10,4,4,4,4,4,4,3,4,32,53,94.86,94.86,94.86,94.86,100,100,100,100,100,100,100,100,100,100,100,100,92.98,92.98,92.98,92.98,96.54,96.54,96.54,96.54,A,A,A,A
REDACTED,111111,1111111,jkolo,PHY 040 A01 FQ 2025,20,20,20,20,18.75,20,20,20,20,20,9,4,4,3,3,4,4,4,4,31,50,100,100,100,100,90,90,90,90,96.88,96.88,96.88,96.88,96.43,96.43,96.43,96.43,87.72,87.72,87.72,87.72,95.56,95.56,95.56,95.56,A,A,A,A
REDACTED,111111,1111111,sjlarson,PHY 040 A01 FQ 2025,20,20,20,20,16.25,19,20,18.5,16,19.75,10,3,4,1,3,3,4,4,3,30,46,96.39,96.39,96.39,96.39,100,100,100,100,93.75,93.75,93.75,93.75,85.71,85.71,85.71,85.71,80.7,80.7,80.7,80.7,92.02,92.02,92.02,92.02,A-,A-,A-,A-
REDACTED,111111,1111111,leonarjw,PHY 040 A01 FQ 2025,20,20,20,20,20,19,19.75,19.5,20,19.5,10,2,4,4,4,3,4,3,4,30,51,99.31,99.31,99.31,99.31,100,100,100,100,93.75,93.75,93.75,93.75,92.86,92.86,92.86,92.86,89.47,89.47,89.47,89.47,95.65,95.65,95.65,95.65,A,A,A,A
